time,date,run,ahu1_fan_power,ahu1_heat_power,ahu2_heat_power,ch1_power,ahu2_fan_power,dx_c1_power,ch2_power,dx_c2_power,exf1_power,exf2_power,oau_fan_power,oau_heat_power,pump1_power,pump2_power,pump4_power,pump5_power,pump3_power,vav1_heat_power,vav2_heat_power,vav3_heat_power,vav4_heat_power,zs1_heat_power,zs2_heat_power,zs3_heat_power,zs4_heat_power
2023-11-22 12:00:01.007000-05:00,2023-11-22,1,2.005927,1.981357,1.989039,1.000462,2.01201,0.000971204778,0.999899428,0.000906797415,1.009775,2.015749,2.002001,0.000842390053,1.00816,1.01119,2.012884,2.004088,1.011416,2.014876,2.009853,2.015677,2.004217,2.009546,2.013836,2.018843,2.017743
2023-11-22 12:00:11.007000-05:00,2023-11-22,1,2.003298,1.982322,1.98988,0.99982436,2.010819,0.000987306619,0.999707762,0.000858491893,1.009599,2.01623,2.003773,0.000874593734,1.00832,1.011174,2.013824,2.01448,1.00961,2.01585,2.00318,2.015019,2.01784,2.020305,2.018492,2.019757,2.015567
2023-11-22 12:00:21.007000-05:00,2023-11-22,1,2.005949,1.981375,1.98903,1.00207,2.007698,0.000842390053,0.998989016,0.000922899256,1.009152,2.015712,1.997877,0.000810186372,1.01035,1.009688,2.012975,2.008306,1.012662,2.009575,2.011545,2.015755,2.00501,2.00975,2.014124,2.01892,2.017753
2023-11-22 12:00:31.007000-05:00,2023-11-22,1,2.009462,1.982183,1.989748,0.992433231,2.00331,0.000987306619,0.99946818,0.000922899256,1.009695,2.007453,1.998393,0.000906797415,0.996365602,1.008106,2.013751,2.006996,1.012981,2.008627,2.016375,2.011301,2.013057,2.013356,2.012211,2.019175,2.01894
2023-11-22 12:00:41.007000-05:00,2023-11-22,1,2.003582,1.982388,1.989831,1.003154,2.01084,0.000922899256,0.989166157,0.00077798269,1.009663,2.016278,1.998908,0.000971204778,1.00979,1.008665,2.013715,2.014357,1.009435,2.015858,2.00042,2.015086,2.017862,2.020353,2.018539,2.019765,2.015595
2023-11-22 12:00:51.007000-05:00,2023-11-22,1,2.013857,1.982534,1.990108,1.003122,2.006823,0.000890695575,0.994724458,0.000890695575,1.008992,2.010962,1.997813,0.000810186372,1.01051,1.009688,2.014216,2.010624,1.013556,2.014965,2.016785,2.009179,2.017306,2.016946,2.015363,2.019879,2.012406
2023-11-22 12:01:01.007000-05:00,2023-11-22,1,2.003099,1.982471,1.990071,1.00266,2.009994,0.000858491893,0.994373071,0.000922899256,1.00936,2.015253,1.996621,0.000906797415,1.011548,1.009049,2.014023,2.013379,1.012534,2.016112,2.016783,2.013724,2.018062,2.019745,2.017923,2.020023,2.014884
2023-11-22 12:01:11.007000-05:00,2023-11-22,1,2.006099,1.981899,1.989427,1.002134,2.011159,0.000858491893,0.996561253,0.000906797415,1.009504,2.016136,2.000358,0.000890695575,1.009343,1.009624,2.013238,2.014541,1.009227,2.015327,2.0069,2.015685,2.017332,2.009913,2.018696,2.019276,2.015841
2023-11-22 12:01:21.007000-05:00,2023-11-22,1,2.003688,1.98237,1.989925,1.001051,2.010808,0.000939001097,1.000522,0.000939001097,1.010414,2.016295,2.000165,0.000858491893,1.006051,0.997577487,2.013834,2.014344,1.009147,2.015854,2.000781,2.015083,2.017863,2.020315,2.018562,2.019804,2.015649
2023-11-22 12:01:31.007000-05:00,2023-11-22,1,2.007047,1.981771,1.989252,1.001624,2.001408,0.000890695575,1.00089,0.000858491893,1.011309,2.015955,2.001679,0.000874593734,1.008991,0.979076637,2.013174,2.005299,1.010217,2.000788,2.014833,2.015983,2.007412,2.011217,2.010376,2.019082,2.019211
2023-11-22 12:01:41.007000-05:00,2023-11-22,1,2.012184,1.982487,1.990025,1.001035,2.005989,0.000906797415,0.999196654,0.000890695575,1.008849,2.009731,2.00068,0.000890695575,1.004836,1.009464,2.014037,2.009676,0.998347831,2.013639,2.016731,2.007992,2.016466,2.016181,2.01465,2.01973,2.011859
2023-11-22 12:01:51.007000-05:00,2023-11-22,1,2.004125,1.982395,1.990005,1.00086,2.010466,0.000906797415,0.997567497,0.000874593734,1.008385,2.01575,1.998844,0.000906797415,0.989333574,1.008841,2.013893,2.014133,0.99927439,2.015971,2.00884,2.014459,2.017973,2.020047,2.018225,2.019899,2.015315
2023-11-22 12:02:01.007000-05:00,2023-11-22,1,2.004863,1.98203,1.989543,1.002214,2.01108,0.000955102937,0.996513336,0.000842390053,1.009424,2.01613,2.000713,0.000890695575,1.007601,1.009176,2.013409,2.014569,1.010345,2.015407,2.004195,2.015407,2.015446,2.01547,2.01862,2.019408,2.015805
2023-11-22 12:02:11.007000-05:00,2023-11-22,1,2.006423,1.981407,1.989077,1.002899,2.007222,0.000922899256,0.998845267,0.000874593734,1.0092,2.015764,1.996363,0.000906797415,1.012204,1.008553,2.012963,2.007903,1.012773,2.008771,2.011723,2.015754,2.005161,2.009907,2.013876,2.018918,2.017828
2023-11-22 12:02:21.007000-05:00,2023-11-22,1,2.008404,1.981823,1.989383,1.000366,2.001671,0.000922899256,0.999420264,0.000922899256,1.009903,2.015928,2.001293,0.000906797415,1.007233,1.004863,2.013289,2.005562,1.009387,2.001867,2.015209,2.016177,2.008206,2.011558,2.010687,2.019222,2.019456
2023-11-22 12:02:31.007000-05:00,2023-11-22,1,2.009607,1.982145,1.989678,1.000939,2.002911,0.000922899256,0.998206382,0.000906797415,1.008401,2.010024,1.999102,0.000890695575,1.002535,1.009432,2.013642,2.006685,0.986414395,2.00701,2.016214,2.013001,2.011948,2.01293,2.011823,2.01926,2.019357
2023-11-22 12:02:41.007000-05:00,2023-11-22,1,2.011486,1.982357,1.989939,0.997100474,2.004883,0.000890695575,0.99871749,0.000826288212,1.00928,2.007904,1.998522,0.000874593734,0.984539011,1.008186,2.013914,2.008681,1.009483,2.011887,2.016614,2.006869,2.015315,2.015112,2.013665,2.019521,2.014045
2023-11-22 12:02:51.007000-05:00,2023-11-22,1,2.007299,1.982446,1.990094,1.002405,2.009691,0.000955102937,0.998669574,0.000955102937,1.009168,2.014713,1.999005,0.000858491893,1.010829,1.009528,2.014045,2.013501,1.011352,2.016032,2.015514,2.013332,2.018015,2.019439,2.017628,2.020028,2.014614
2023-11-22 12:03:01.007000-05:00,2023-11-22,1,2.005055,1.981684,1.989293,1.002962,2.011542,0.000858491893,0.994995984,0.000890695575,1.009583,2.016002,1.997265,0.000842390053,1.011836,1.009448,2.013191,2.013833,1.010824,2.015166,2.008147,2.015714,2.010532,2.010179,2.018703,2.019152,2.016472
2023-11-22 12:03:11.007000-05:00,2023-11-22,1,2.01322,1.982486,1.990083,1.002835,2.006318,0.000858491893,1.000203,0.000810186372,1.010095,2.010222,1.999843,0.000890695575,1.007473,1.008282,2.014245,2.010265,1.010824,2.014339,2.016814,2.008511,2.016908,2.016552,2.014971,2.01991,2.012255
2023-11-22 12:03:21.007000-05:00,2023-11-22,1,2.008714,1.982026,1.989577,1.00172,2.002343,0.000874593734,1.000698,0.000826288212,1.011053,2.014204,1.999392,0.000890695575,1.006115,0.995021238,2.013524,2.006158,1.008348,2.00535,2.016058,2.016419,2.010754,2.012247,2.011263,2.019208,2.019759
